race,seats,party_id,party_name,votes,expected_seats
AltaVerapaz,9,12,SEMILLA,8000,0
AltaVerapaz,9,13,WINAQ,18000,1
AltaVerapaz,9,14,MLP,15000,1
AltaVerapaz,9,15,URNG,12000,1
SanMarcos,9,1,UNE,45000,3
SanMarcos,9,2,VAMOS,32000,2
SanMarcos,9,3,UCN,22000,1
SanMarcos,9,4,VALOR,14000,1
SanMarcos,9,5,FCN,18000,1
SanMarcos,9,6,TODOS,8000,0
SanMarcos,9,13,WINAQ,10000,0
SanMarcos,9,14,MLP,12000,1
Huehuetenango,10,1,UNE,50000,4
Huehuetenango,10,2,VAMOS,36000,2
Huehuetenango,10,3,UCN,25000,1
Huehuetenango,10,4,VALOR,13000,1
Huehuetenango,10,5,FCN,10000,0
Huehuetenango,10,12,SEMILLA,8000,0
Huehuetenango,10,13,WINAQ,16000,1
Huehuetenango,10,14,MLP,20000,1
Huehuetenango,10,15,URNG,11000,0
DistritoCentral,11,1,UNE,47000,3
DistritoCentral,11,2,VAMOS,40000,2
DistritoCentral,11,3,UCN,22000,1
DistritoCentral,11,4,VALOR,28000,1
DistritoCentral,11,5,FCN,18000,1
DistritoCentral,11,7,BIEN,14000,0
DistritoCentral,11,8,HUMANISTA,9000,0
DistritoCentral,11,10,CREO,11000,0
DistritoCentral,11,12,SEMILLA,55000,3
DistritoCentral,11,16,EG,7000,0
DistritoGuatemala,19,1,UNE,95000,5
DistritoGuatemala,19,2,VAMOS,80000,4
DistritoGuatemala,19,3,UCN,42000,2
DistritoGuatemala,19,4,VALOR,50000,2
DistritoGuatemala,19,5,FCN,35000,1
DistritoGuatemala,19,7,BIEN,28000,1
DistritoGuatemala,19,8,HUMANISTA,22000,1
DistritoGuatemala,19,9,VIVA,9000,0
DistritoGuatemala,19,10,CREO,18000,0
DistritoGuatemala,19,11,PHG,14000,0
DistritoGuatemala,19,12,SEMILLA,65000,3
DistritoGuatemala,19,16,EG,11000,0
Nacional,32,1,UNE,850000,7
Nacional,32,2,VAMOS,600000,5
Nacional,32,3,UCN,500000,4
Nacional,32,4,VALOR,350000,2
Nacional,32,5,FCN,350000,2
Nacional,32,6,TODOS,300000,2
Nacional,32,7,BIEN,250000,2
Nacional,32,8,HUMANISTA,250000,2
Nacional,32,9,VIVA,230000,1
Nacional,32,10,CREO,200000,1
Nacional,32,11,PHG,200000,1
Nacional,32,12,SEMILLA,180000,1
Nacional,32,13,WINAQ,150000,1
Nacional,32,14,MLP,130000,1
Nacional,32,15,URNG,100000,0
Nacional,32,16,EG,90000,0
Nacional,32,17,CONVERGENCIA,80000,0
Nacional,32,18,PAN,80000,0
Nacional,32,19,PROSPERIDAD,60000,0
Parlacen,20,1,UNE,900000,5
Parlacen,20,2,VAMOS,620000,3
Parlacen,20,3,UCN,480000,2
Parlacen,20,4,VALOR,360000,2
Parlacen,20,5,FCN,340000,2
Parlacen,20,6,TODOS,290000,1
Parlacen,20,7,BIEN,240000,1
Parlacen,20,8,HUMANISTA,240000,1
Parlacen,20,9,VIVA,220000,1
Parlacen,20,10,CREO,200000,1
Parlacen,20,11,PHG,200000,1
Parlacen,20,12,SEMILLA,170000,0
Parlacen,20,13,WINAQ,150000,0
Parlacen,20,14,MLP,130000,0
Parlacen,20,15,URNG,100000,0
Parlacen,20,16,EG,90000,0
Parlacen,20,17,CONVERGENCIA,80000,0
Parlacen,20,18,PAN,80000,0
Parlacen,20,19,PROSPERIDAD,60000,0
