headline_id,headline_text,candidate_ids,party_ids,labeled_at,labeled_by
37,CC programa discusión de acciones legales contra el CSU de la Usac para el próximo lunes,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
38,Las acciones del fiscal general Gabriel García Luna en sus primeros días al frente del MP,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
39,VIDEO: Así fue el doblete de Cristiano Ronaldo en la victoria del Al-Nassr por el título,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
40,"El CIEN advierte: el MP redujo su presa de expedientes, pero solo el 3.5% llegó a juicio",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
41,Organizaciones expresan respaldo a primeras acciones de Gabriel García Luna al frente del MP,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
42,La nueva familia super híbrida llega a Guatemala,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
43,"Marlov Barrios y Los Cenotafios: Fecha, hora y otros detalles del concierto que reunirá las artes visuales, la música y la poesía",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
44,Este es el punto de partida de La mayor ganancia,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
45,En plena tensión con Cuba: EE. UU. despliega el portaaviones USS Nimitz en aguas del mar Caribe,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
46,"Impacto Directo cumple dos años en Guatevisión con nuevos segmentos, análisis y el mismo compromiso de informar",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
47,¡Cristiano Ronaldo campeón! Al-Nassr conquista la liga saudí con doblete del portugués,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
48,"De qué murió Carlos Mojica, uno de los cabecillas del Barrio 18 en El Salvador y portavoz de una polémica tregua en 2012",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
49,Alemania mezcla experiencia y juventud con Neuer como líder para el Mundial 2026,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
50,Paso en el km 45 de la ruta Interamericana permanece cerrado por choque múltiple,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
51,Caso Cambray: aplazan por sexta ocasión audiencia de dos exalcaldes de Santa Catarina Pinula,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
52,Palacio Nacional de la Cultura abrirá sus puertas para concierto gratuito de Guateorquesta el 24 de mayo,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
53,Maga alerta por déficit de lluvias y advierte impacto en cultivos de varias regiones de Guatemala,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
54,Honduras vive jornada violenta con enfrentamiento en frontera con Guatemala y posible masacre en Colón,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
55,Katherine Narváez: la médica guatemalteca que impulsa desde EE. UU. proyectos de educación y salud,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
56,Enrique Riquelme reta a Florentino Pérez y oficializa su candidatura a la presidencia del Real Madrid,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
57,“Yokoso Scooby-Doo!”: la nueva adaptación que llevaría a Scooby-Doo al anime con una historia ambientada en Japón,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
58,Abren convocatoria regional de literatura infantil con premio de US$1 mil (más de Q7 mil),,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
59,La primera Boutique Carolina Herrera de Latinoamérica,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
60,Bad Bunny causa furor tras aparecer en Barcelona horas antes de su concierto del “Debí Tirar Más Fotos World Tour”,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
61,Autopista y Ciudad Xochi apuntan a convertir Suchitepéquez en nuevo eje logístico y comercial,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
62,Condenada a cadena perpetua: Madre de Brooklyn ahoga a sus tres hijos en Coney Island,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
63,“Un fugitivo de la justicia”: Marco Rubio habla de Raúl Castro y qué planes tiene EE. UU. tras acusarlo de asesinato,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
64,"Sin poder salir de Costa Rica, Derrickson Quirós se despide de Xelajú: “Me voy muy dolido”",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
65,EE. UU. pide al Congreso de Guatemala aprobar una ley contra el lavado de dinero con estándares internacionales,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
66,Municipal sueña con repetir la hazaña: el 7-1 en la serie ante Xelajú que silenció el Mario Camposeco,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
67,Fundesa alerta impacto económico en Guatemala por controles financieros en EE. UU.,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
68,“Ahí empezó el calvario”: el padre de Litzy Cordón relata el último día de vida de su hija y las llamadas del secuestro,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
69,Sergio Chumil representará a Guatemala en el GP Beiras e Serra da Estrela en Portugal,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
70,"¿Menos huracanes en 2026? Así estará la temporada de ciclones en el Atlántico y el Pacífico, según EE. UU.",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
71,IGSS revela detalles sobre operativos realizados en hospital de la zona 6,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
72,El impacto de la guerra: EE. UU. revela cuánto dinero y cuántas aeronaves perdió contra Irán,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
73,Municipal vs Xelajú: Gonzalo Romero y Julio Estacuy reviven históricas finales y analizan la vuelta,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
74,Martín García deja Cobán Imperial y se convierte en el nuevo técnico de Guastatoya,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
75,Festival de Junio 2026: cómo comprar entradas y la agenda de la edición XXI,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
76,Brasil llega al Mundial 2026 bajo presión y con la obsesión del hexacampeonato: así le ha ido en sus últimas participaciones,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
77,Capturan en Zacapa a hombre con doble nacionalidad buscado en España por homicidio,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
78,De la mano de Hagen: Columbus Crew vuelve a las semifinales de la U.S. Open Cup tras 16 años,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
79,PNC reporta seis capturas en Zacapa y Petén por portación ilegal de armas y otros delitos,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
80,Cárcel Renovación 1: Matan a reo señalado por asesinato de dirigente del Club Deportivo Guastatoya,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
81,MEM supervisará operaciones de Fenix Nickel tras reactivación de operaciones mineras en Izabal,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
82,Un sistema nacional de aprendices: la propuesta para el primer empleo formal de los jóvenes,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
83,Ley antilavado en Guatemala: analistas advierten retrocesos por cambios impulsados en el Congreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
84,Mayor control financiero en EE. UU. amenaza flujo de remesas hacia Guatemala,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
85,El miércoles de Curruchiche,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
86,Una especie de redada financiera,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
87,La paradoja de Trump: lo que le beneficia a él perjudica a su partido,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
88,China y Estados Unidos,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
89,"Más ciclovías, menos tráfico",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
90,El costo de delinquir y el MP,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
91,Horóscopo de hoy jueves 21 de mayo de 2026,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
92,Vientos del norte,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
93,El motor invisible de la economía global,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
94,"Desarticulan presunta guarida del Barrio 18 en Villa Nueva; decomisan Q352 mil, armas y droga",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
95,Así es la nueva copa que levantará el campeón del Clausura 2026 del futbol guatemalteco,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
96,¿Qué incluye la acusación de EE. UU. contra Raúl Castro por el derribo de avionetas y por qué podría enfrentar prisión perpetua?,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
97,“Se salvó de milagro”: video revela segundos de terror antes de que un bus se empotrara en una ferretería,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
98,"Jose Rubén Zamora denunciará a Alejandro Giammattei, Consuelo Porras y exjefes de la FECI",110,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
99,Verificamos por usted: ¿se agregará la estampa de Neymar en el álbum oficial del Mundial 2026?,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
100,TSE confirma cancelación definitiva del PAN tras rechazar apelación,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
101,António Costa afirma que la seguridad jurídica es clave para atraer más inversión europea a Guatemala,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
102,Dos universidades (una vinculada a Walter Mazariegos) cambian la integración de la comisión de postulación para jefe de la CGC,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
103,Presidente del Consejo Europeo visita Guatemala para fortalecer cooperación y relaciones bilaterales,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
104,Los jefes de bloques discuten en privado los cambios a la Ley Antilavado,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
105,La hoja de ruta del MP: una transición obligada a revisar eficacia de las fiscalías y el futuro de la Feci,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
106,Sector interreligioso realiza misa frente al MP en medio del relevo de fiscal general,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
107,Fiscal general Gabriel García Luna emite primer mensaje como Fiscal General y anuncia conferencia a las 12,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
108,Mingob traslada a nueve pandilleros de Renovación 1 a pabellón de alta seguridad,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
109,Guatemala se suman a países que rechazan “desestabilizar” Bolivia y muestran preocupación por la situación humanitaria,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
110,En Directo | García Luna afirma que revisión de la FECI puede alcanzar a exautoridades del MP,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
111,Defensa desembolsa Q767 millones para contrato vial con ingenieros del Ejército de EE. UU.,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
112,Diputados buscan consensos para aprobar cambios al IUSI en junio,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
113,Observadores respaldan la auditoría a los comités para la formación de partidos políticos ordenada por el TSE,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
114,"Contraloría auditó 260 entidades en el segundo semestre del 2025; figuran ministerios, hospitales, municipalidades y la Usac",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
115,Cinco frases del último discurso de Consuelo Porras frente al Ministerio Público,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
116,Arévalo juramenta a Gabriel García Luna como nuevo fiscal general del Ministerio Público,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
117,Relevo en el Ministerio Público: A calificación los ocho años de Consuelo Porras,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
118,“Quien decidió romper quórum fui yo”: Luis Contreras explica freno a ley contra el lavado de dinero,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
119,Enmienda plantea limitar extinción de dominio en casos de lavado hasta tener condena firme,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
120,"Sin la DIPP, el CIV adjudica Q1,300 millones en 22 proyectos con la nueva ley de infraestructura",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
121,Amparos contra elección en la Usac: Equipo legal prevé resolución definitiva antes de toma de posesión de Walter Mazariegos,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
122,Acción contra el IUSI: diputados argumentan que ley ignora la capacidad real de pago y señalan otros vacíos legales,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
123,Congreso no logra aprobar ley antilavado en última sesión del primer período ordinario,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
124,Diputados buscarán opinión de la Corte de Constitucionalidad sobre veto presidencial,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
125,CC niega amparos provisionales y mantiene el proceso de renovación de fiscal general y el nombramiento de Gabriel García Luna,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
126,Canciller Carlos Martínez habla de los desafíos del nuevo fiscal general y de las brigadas médicas cubanas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
127,Congreso espera tener 107 votos para aprobar en último momento la ley Antilavado,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
128,Presidente anticipa nueva etapa en el MP y descarta que alguna resolución de la CC evite toma de posesión del nuevo fiscal Gabriel García Luna,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
129,Cinco factores aumentan presión sobre la democracia en América Latina y el Caribe según informe del PNUD,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
130,Designación de fiscal general entra en fase decisiva en la Corte de Constitucionalidad,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
131,Congreso continúa en la búsqueda de acuerdos para aprobar ley antilavado antes de finalizar período ordinario,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
132,TSE debe consolidar la Dirección Informática ante los desafíos electorales del 2027,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
133,¿En qué consiste la política de “mano dura” que Laura Fernández promete aplicar en Costa Rica?,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
134,"Arévalo aborda seguridad, migración y comercio con presidentes de la región y funcionario de Estados Unidos",101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
135,Contraloría reafirma falta de finiquito y PGN respalda frenar reelección de Walter Mazariegos como rector de la Usac,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
136,Exmagistrados recomiendan un diálogo abierto y priorizar los temas pendientes en la nueva CC,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
137,"Magistrado de la CC, Roberto Molina Barreto, se pronuncia luego de denuncia de amenazas contra togados",109,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
138,¿Puede ser capturado un embajador? El caso de Marco Livio Díaz pone foco en la inmunidad diplomática,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
139,Congreso prevé retomar el martes la discusión de la ley antilavado tras falta de acuerdos entre bancadas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
140,El Faro denuncia congelamiento de bienes de sus socios y señala nueva presión del Gobierno de Bukele,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
141,Bernardo Arévalo viaja a Costa Rica para asistir a la toma de posesión de la presidenta Laura Fernández,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
142,CC denuncia amenazas y agresiones contra su presidenta Annabella Morfín y otros magistrados,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
143,"Independencia y estabilidad marcarían la pauta en nueva gestión del Ministerio Público, indican analistas",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
144,Evitar el abuso de la reserva y revisar las fiscalías especiales: los 14 ejes del fiscal general electo Gabriel García Luna,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
145,Gobierno nombra a Emiliano Valdés Melendreras como nuevo viceministro de Cultura,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
146,"Nuevo Fiscal general de Guatemala, Gabriel García Luna, y el plan para el MP que planteó ante la postuladora",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
147,Ejército de Guatemala con ayuda de EE. UU. hará pruebas científicas para evitar infiltraciones del crimen organizado en sus filas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
148,Ampliación de la Ley de Desarrollo Integral en el Congreso sería con fines clientelares y electorales,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
149,“Todo sube y más gasta uno”: guatemaltecos cuestionan el alza de combustibles pese al subsidio,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
150,Arévalo designa a Gabriel Estuardo García Luna como fiscal general que asumirá el cargo el 17 de mayo,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
151,Falta de apoyo a la ley Antilavado detiene la sesión plenaria del Congreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
152,Legislativo distingue a Lester Martínez y Joshua Kevin Antón con la Orden del Soberano Congreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
153,Elección de fiscal general: postuladora confirma que no se presentaron impugnaciones y enviará informe al presidente Arévalo,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
154,Congreso retoma aprobación de la ley antilavado con 14 enmiendas en discusión,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
155,Concluye etapa de impugnaciones sin objeciones y Arévalo asume decisión final sobre fiscal general,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
156,Arévalo perfila decisión final y plantea que el nuevo fiscal general deberá rescatar el MP,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
157,Magistrados del TSE piden compras por excepción en año preelectoral y Q122 millones,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
158,"Presidente resta importancia a nuevo amparo en su contra, y se alista para designar al nuevo fiscal general",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
159,Presentan amparo por posible conflicto de intereses de Arévalo y Herrera en elección de fiscal general,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
160,Baja productividad legislativa marca el cierre del primer período ordinario de sesiones del 2026 en el Congreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
161,Último día de impugnaciones marca la elección del fiscal general,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
162,"Maniobras, música y artes marciales: Guatemala recibe a Escuadrón de la Amistad de Taiwán",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
163,Día Mundial de la Libertad de Prensa: SIP advierte de escenario crítico para el periodismo en la región,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
164,Diputados realizan movimientos y reacomodos en partidos políticos con miras a reelegirse en el 2027,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
165,Amparos pendientes de resolver por la Corte de Constitucionalidad mantienen presión sobre elección de fiscal general,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
166,Hackeos en Guatemala: TSE suspende temporalmente su sitio web como medida preventiva,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
167,Participación de universidades en postulaciones desata críticas y presión por reformas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
168,Cambio en el MP abre debate sobre reforma a ley del ente investigador para remover al fiscal general,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
169,Arévalo finaliza evaluación de candidatos y se prepara para nombrar al próximo fiscal general,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
170,Pai Ela Escobar Pérez asume la Dirección General de Transportes tras relevo de autoridades,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
171,TSE pedirá una ampliación presupuestaria de Q122 millones por las elecciones del 2027,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
172,Cuatro comités están próximos a convertirse en partidos políticos y competir en las elecciones generales del 2027,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
173,Arévalo evalúa a Carlos Alberto García Alvarado y César Augusto Ávila Aparicio para liderar el MP,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
174,EE. UU. acusa al gobernador de Sinaloa de vínculos con el narco y México responde,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
175,Foro evidencia retos en elecciones de segundo grado y plantea reformas legales,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
176,Ministerio de Gobernación aprobó y firmó requisición de sistema biométrico del Renap,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
177,Arévalo inicia entrevistas a candidatos a fiscal general en medio de etapa clave para definir al jefe del MP,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
178,Congreso elimina el pago del Impuesto Sobre la Renta para trabajadores que ganan el salario mínimo,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
179,Congreso aprueba apoyo económico a Lester Martínez y Joshua Antón tras títulos en el CMB,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
180,Observadores piden al presidente verificar la honorabilidad del futuro fiscal general y cuestionan las entrevistas a puerta cerrada,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
181,Contreras asegura financiamiento de Q200 millones para beneficio a veteranos: qué más piden al Congreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
182,Arévalo admite aumento de homicidios y señala desplazamiento del crimen por presión policial,101,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
183,Presidente realizará entrevistas a candidatos a fiscal general esta semana,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
184,"Congreso deja fuera por segunda semana la ley antilavado, y prioriza paquete de iniciativas dirigidas a excombatientes",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
185,Cambios al IUSI marcan diferencias entre alcaldes y diputados,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
